mask,edge_count,edge_graph_id,equality_graph_id,r0_profile_j123,indexed_replay_key
0x02d0,26,EG0318,EQ022,100,0x02d0
0x02d2,26,EG0318,EQ022,100,0x02d2
0x02d4,28,EG0315,EQ017,100,0x02d4
0x02d6,28,EG0315,EQ017,100,0x02d6
0x02d8,28,EG0581,EQ018,100,0x02d8
0x02da,30,EG0037,EQ002,100,0x02da
0x02dc,26,EG0584,EQ023,100,0x02dc
0x02de,28,EG0040,EQ009,100,0x02de
0x02e0,22,EG0698,EQ037,000,0x02e0
0x02e2,24,EG0302,EQ031,000,0x02e2
0x02e4,24,EG0697,EQ029,000,0x02e4
0x02e6,26,EG0299,EQ026,000,0x02e6
0x02e8,28,EG0021,EQ008,000,0x02e8
0x02ea,28,EG0021,EQ008,000,0x02ea
0x02ec,26,EG0024,EQ010,000,0x02ec
0x02ee,26,EG0024,EQ010,000,0x02ee
0x02f0,26,EG0300,EQ021,100,0x02f0
0x02f2,26,EG0300,EQ021,100,0x02f2
0x02f4,28,EG0297,EQ016,100,0x02f4
0x02f6,28,EG0297,EQ016,100,0x02f6
0x02f8,28,EG0567,EQ018,100,0x02f8
0x02fa,30,EG0019,EQ002,100,0x02fa
0x02fc,26,EG0570,EQ023,100,0x02fc
0x02fe,28,EG0022,EQ009,100,0x02fe
0x0300,20,EG0606,EQ120,010,0x0300
0x0302,22,EG0141,EQ034,010,0x0302
0x0304,22,EG0631,EQ099,010,0x0304
0x0306,24,EG0084,EQ032,010,0x0306
0x0308,22,EG0361,EQ086,010,0x0308
0x030a,22,EG0412,EQ084,010,0x030a
0x030c,20,EG0414,EQ088,010,0x030c
0x030e,20,EG0364,EQ089,010,0x030e
0x0310,24,EG0085,EQ033,110,0x0310
0x0312,24,EG0139,EQ033,110,0x0312
0x0314,26,EG0136,EQ010,110,0x0314
0x0316,26,EG0082,EQ010,110,0x0316
0x0318,22,EG0730,EQ064,110,0x0318
0x031a,24,EG0410,EQ029,110,0x031a
0x031c,20,EG0755,EQ108,110,0x031c
0x031e,22,EG0362,EQ087,110,0x031e
0x0320,20,EG0614,EQ122,010,0x0320
0x0322,22,EG0159,EQ037,010,0x0322
0x0324,22,EG0638,EQ098,010,0x0324
0x0326,24,EG0102,EQ032,010,0x0326
0x0328,22,EG0378,EQ091,010,0x0328
0x032a,22,EG0428,EQ085,010,0x032a
0x032c,20,EG0431,EQ093,010,0x032c
0x032e,20,EG0380,EQ094,010,0x032e
0x0330,24,EG0103,EQ036,110,0x0330
0x0332,24,EG0157,EQ036,110,0x0332
0x0334,26,EG0154,EQ010,110,0x0334
0x0336,26,EG0100,EQ010,110,0x0336
0x0338,22,EG0737,EQ065,110,0x0338
0x033a,24,EG0427,EQ030,110,0x033a
0x033c,20,EG0764,EQ110,110,0x033c
0x033e,22,EG0379,EQ092,110,0x033e
0x0340,22,EG0105,EQ038,010,0x0340
0x0342,20,EG0891,EQ115,010,0x0342
0x0344,24,EG0156,EQ031,010,0x0344
0x0346,22,EG0864,EQ104,010,0x0346
0x0348,22,EG0378,EQ091,010,0x0348
